year,n_months_markettype5,cmnstkcal_mean,cmnstkcal_min,cmnstkcal_max,cmmvttl_mean
1991,12,11.8333,10,13,7697662.1483
1992,12,31.5833,14,52,89811411.4042
1993,12,104.8333,57,176,258096044.7308
1994,12,263.5833,208,287,346390935.9250
1995,12,297.0000,288,311,359130973.0583
1996,12,391.0833,315,514,638216803.3900
1997,12,639.0000,533,719,1486272567.6400
1998,12,775.5833,727,824,1975109433.0583
1999,12,875.1667,832,923,2474207891.8258
2000,12,982.4167,929,1059,4018298090.1275
2001,12,1107.7500,1073,1135,4709658247.9783
2002,12,1158.2500,1133,1192,4203906084.6125
2003,12,1221.5833,1198,1258,4065890628.6750
2004,12,1305.5833,1264,1349,4169877836.6408
2005,12,1345.4167,1338,1353,3243978279.7533
2006,12,1318.5000,1277,1362,4849734464.8408
2007,12,1392.7500,1355,1439,19879749386.8925
2008,12,1509.6667,1457,1558,18490059185.3150
2009,12,1575.2500,1554,1625,18969058230.4308
2010,12,1736.5000,1641,1837,22970786335.9592
2011,12,1917.7500,1848,1988,24336090682.7883
2012,12,2043.6667,1989,2084,21195456342.8183
2013,12,2070.1667,2061,2080,21955685407.9358
2014,12,2054.1667,2024,2082,24631417292.1267
2015,12,2074.8333,2006,2175,42603784055.7225
2016,12,2239.0833,2176,2361,40006733210.7158
2017,12,2505.7500,2386,2646,47653434093.5017
2018,12,2706.1667,2624,2821,44771221776.0008
2019,12,2860.8333,2833,2892,48168035442.4508
2020,12,2943.3333,2894,3021,56802455223.7150
2021,12,3088.5000,3032,3134,67595327490.7075
2022,12,3151.4167,3135,3172,63048958843.0208
2023,12,3187.5000,3174,3200,63589024108.1050
2024,12,3184.6667,3169,3202,61489216773.7433
2025,12,3180.0833,3170,3190,71587324936.2583
