size_quintile,ep_quintile,avg_excess_return_pct,n_months
1,1,2.3319240942731345,402
1,2,1.9894635083041303,366
1,3,2.0855660146648547,378
1,4,2.079741690723645,366
1,5,1.4679536317446336,354
2,1,1.0685417422734522,378
2,2,1.0280156509792404,390
2,3,1.4916415342687936,366
2,4,1.5742421783127667,378
2,5,2.0133895423148127,378
3,1,0.7459475260288635,366
3,2,0.9394143563896536,378
3,3,1.2095362132269112,378
3,4,1.1447658353183456,402
3,5,1.544841894891793,366
4,1,0.8228780144977731,366
4,2,0.7798170984083276,378
4,3,0.7899738585102182,390
4,4,0.8295768285288817,390
4,5,1.198340233105221,378
5,1,0.4230197346037784,366
5,2,0.3574354251384182,378
5,3,0.44075953772424137,378
5,4,0.6408568990281382,366
5,5,0.9818528239508909,378
