size_tercile,bm_tercile,char_port,beta_hml_q5,mean_excess_monthly_pct,n_months
1,1,SZ1BM1,1,1.6534186794568695,378
1,1,SZ1BM1,2,1.515341289398288,378
1,1,SZ1BM1,3,1.4269554077506192,366
1,1,SZ1BM1,4,2.0061309651211556,378
1,1,SZ1BM1,5,1.4096872237596345,366
1,2,SZ1BM2,1,1.6810556509477321,378
1,2,SZ1BM2,2,2.27254948764997,378
1,2,SZ1BM2,3,1.9173110879337956,378
1,2,SZ1BM2,4,1.9145204008522099,378
1,2,SZ1BM2,5,1.702788335076793,378
1,3,SZ1BM3,1,2.242710556524208,378
1,3,SZ1BM3,2,1.8504206891192965,366
1,3,SZ1BM3,3,1.882625905571647,366
1,3,SZ1BM3,4,1.7225270036111198,366
1,3,SZ1BM3,5,2.0701718882860414,366
2,1,SZ2BM1,1,0.8427206029439487,378
2,1,SZ2BM1,2,1.0382240136531438,378
2,1,SZ2BM1,3,0.8966921549443181,378
2,1,SZ2BM1,4,0.8504046382163104,378
2,1,SZ2BM1,5,0.7723511300921838,378
2,2,SZ2BM2,1,1.2180958950690373,378
2,2,SZ2BM2,2,1.554990587467865,378
2,2,SZ2BM2,3,1.611706934100266,378
2,2,SZ2BM2,4,1.0890134622846044,378
2,2,SZ2BM2,5,1.119412366271975,366
2,3,SZ2BM3,1,1.80168482330677,378
2,3,SZ2BM3,2,1.3605863734325883,366
2,3,SZ2BM3,3,1.2880758980509188,366
2,3,SZ2BM3,4,1.260000274619087,366
2,3,SZ2BM3,5,1.3518742643875934,366
3,1,SZ3BM1,1,0.4148227985954668,378
3,1,SZ3BM1,2,0.36662239644780853,366
3,1,SZ3BM1,3,0.7665389847168963,378
3,1,SZ3BM1,4,0.7695637472390587,366
3,1,SZ3BM1,5,0.4606176978726906,366
3,2,SZ3BM2,1,0.5362948407503502,378
3,2,SZ3BM2,2,0.9253271695495762,378
3,2,SZ3BM2,3,0.7524473008041637,378
3,2,SZ3BM2,4,1.106933130906223,378
3,2,SZ3BM2,5,0.5840768482116669,366
3,3,SZ3BM3,1,1.1247764699249854,378
3,3,SZ3BM3,2,0.8073363694525085,378
3,3,SZ3BM3,3,1.2057360598446987,378
3,3,SZ3BM3,4,1.1134168527118646,378
3,3,SZ3BM3,5,0.7688372740088939,366
