portfolio,avg_monthly_return_pct,post_ranking_beta,avg_ln_me,avg_ln_be_me,avg_size
M1,0.847,1.1567,22.5136,-2.5487,19583694018.37
M2,0.976,1.0470,22.4507,-1.7507,13154541122.69
M3,0.899,0.9982,22.3412,-1.4699,10636132926.83
M4,0.913,0.8529,22.2544,-1.2670,9729295644.66
M5,1.168,0.8958,22.2130,-1.0947,9012558351.32
M6,1.057,0.8553,22.2207,-0.9376,8703930092.25
M7,1.286,1.1100,22.2560,-0.7823,10990677194.37
M8,1.071,0.8622,22.2717,-0.6098,11746090810.52
M9,1.352,0.9149,22.4040,-0.3960,15003054848.19
M10,1.438,1.0083,22.7601,0.0226,34129347935.64
