strategy,J,K,n_months,mean_umd_pct,std_umd_pct,nw12_tstat,sharpe,positive_months_pct,max_drawdown_pct,avg_winner_return_pct,avg_loser_return_pct,composite_score
9/6,9,6,402,0.5589717214442564,7.230440840050015,1.7586203136701215,0.07730811077909185,53.98009950248757,-68.17698465880746,1.440154744681849,0.8811830232375901,-0.7000000000000002
12/1,12,1,402,0.7602280686051742,8.928599253058009,1.7125414400955732,0.0851452783419302,57.2139303482587,-82.00588353151757,2.500153403496112,1.7399253348909367,-0.10000000000000031
6/6,6,6,402,0.45818665786117985,5.964402071507903,1.591105974168968,0.07682021640525358,53.98009950248757,-68.1680104007244,1.2873751031408058,0.8291884452796269,0.5999999999999996
9/9,9,9,402,0.4762747846252636,6.859880922884814,1.577287015588208,0.0694290163312301,53.233830845771145,-65.35541433665529,1.3829244083676075,0.9066496237423434,1.1
12/3,12,3,402,0.5940699757080578,8.407909342622798,1.4293551703425655,0.07065608720309312,55.223880597014926,-82.98947575501953,1.6244927947869494,1.0304228190788922,2.1
12/6,12,6,402,0.5109283060597719,7.717870923844671,1.3593091856056885,0.06620068035618973,54.47761194029851,-74.7308907546697,1.3901350810513944,0.8792067749916215,2.7999999999999994
9/3,9,3,402,0.3136836615791652,7.697535950392351,0.8774840482663645,0.040751178507087905,51.99004975124378,-80.31770242171791,1.4908310864608967,1.1771474248817282,4.2
12/12,12,12,402,0.25356000567746356,7.036980256826789,0.7446937052597721,0.036032502070966775,52.48756218905473,-73.2810699949691,1.2476470302850402,0.9940870246075768,4.6000000000000005
3/6,3,6,402,0.14126514046487185,5.0607460921342104,0.5518464934874331,0.02791389607244605,52.98507462686567,-69.06216553052458,1.1590829067780595,1.0178177663131878,5.699999999999999
6/3,6,3,402,0.18611540011982422,6.664080526528081,0.5353615406487399,0.027928143932076474,53.98009950248757,-84.96218313238865,1.29315085106018,1.107035450940355,6.699999999999999
6/1,6,1,402,-0.17106781526436154,8.8093249390838,-0.3327816060776586,-0.019418947132418204,52.48756218905473,-95.30413840242404,1.939545469450893,2.1106132847152543,8.4
3/3,3,3,402,-0.2967169297710133,7.293336343245128,-0.7393267130525103,-0.04068329167978435,52.98507462686567,-94.37197535476336,1.11672509224881,1.413442022019824,9.0
3/1,3,1,402,-0.5188059616384136,10.577606178140272,-1.042124717394241,-0.04904757776958839,49.25373134328358,-100.0,1.9348716746164236,2.4536776362548425,10.200000000000001
