form_year,n_stocks_june_chars,n_stocks_with_betas,beta_window_months,beta_min_obs
1992,12,0,36,24
1993,47,0,36,24
1994,158,0,36,24
1995,288,0,36,24
1996,308,0,36,24
1997,484,0,36,24
1998,707,0,36,24
1999,813,0,36,24
2000,904,0,36,24
2001,1018,0,36,24
2002,1100,941,36,24
2003,1159,1067,36,24
2004,1208,1103,36,24
2005,1304,1165,36,24
2006,1245,1189,36,24
2007,1263,1213,36,24
2008,1369,1198,36,24
2009,1515,1352,36,24
2010,1540,1461,36,24
2011,1755,1476,36,24
2012,1928,1662,36,24
2013,2017,1850,36,24
2014,1960,1908,36,24
2015,1865,1805,36,24
2016,1996,1834,36,24
2017,2193,2041,36,24
2018,2515,2117,36,24
2019,2792,2564,36,24
2020,2845,2733,36,24
2021,2961,2793,36,24
2022,3093,2874,36,24
2023,3119,3004,36,24
2024,3155,3061,36,24
2025,3139,3096,36,24
