size_decile,beme_decile_within_size,portfolio,avg_monthly_return_pct,avg_size
1,1,S1M1,1.753,1725994.05
1,2,S1M2,0.972,1831015.72
1,3,S1M3,1.750,1898140.25
1,4,S1M4,1.996,1930846.10
1,5,S1M5,1.677,1906971.13
1,6,S1M6,2.150,1918586.73
1,7,S1M7,2.032,1931881.48
1,8,S1M8,2.064,1973054.13
1,9,S1M9,1.838,1937826.20
1,10,S1M10,1.649,1835587.13
2,1,S2M1,0.860,2670112.45
2,2,S2M2,1.228,2691598.73
2,3,S2M3,1.488,2668783.33
2,4,S2M4,1.710,2674130.66
2,5,S2M5,1.569,2654713.45
2,6,S2M6,1.336,2662883.16
2,7,S2M7,1.765,2692754.78
2,8,S2M8,1.811,2664455.11
2,9,S2M9,1.994,2672481.75
2,10,S2M10,1.720,2682530.55
3,1,S3M1,0.673,3372216.07
3,2,S3M2,1.339,3384680.75
3,3,S3M3,0.832,3375575.13
3,4,S3M4,1.321,3378797.24
3,5,S3M5,1.089,3386159.06
3,6,S3M6,1.554,3376530.09
3,7,S3M7,1.152,3397834.48
3,8,S3M8,1.279,3380248.28
3,9,S3M9,1.314,3395732.18
3,10,S3M10,1.320,3394711.76
4,1,S4M1,0.263,4188939.69
4,2,S4M2,0.860,4166631.09
4,3,S4M3,0.786,4206018.58
4,4,S4M4,0.936,4164048.38
4,5,S4M5,0.994,4191721.14
4,6,S4M6,1.383,4189268.77
4,7,S4M7,1.269,4191676.13
4,8,S4M8,1.072,4195085.61
4,9,S4M9,1.219,4163011.22
4,10,S4M10,1.022,4185374.44
5,1,S5M1,-0.065,5212215.17
5,2,S5M2,0.922,5237744.16
5,3,S5M3,0.843,5243794.81
5,4,S5M4,0.854,5221704.33
5,5,S5M5,0.787,5229962.74
5,6,S5M6,0.938,5214056.03
5,7,S5M7,0.925,5209188.41
5,8,S5M8,0.980,5251138.71
5,9,S5M9,0.924,5214929.21
5,10,S5M10,1.123,5213077.14
6,1,S6M1,0.565,6700796.02
6,2,S6M2,0.795,6715067.62
6,3,S6M3,0.706,6638698.91
6,4,S6M4,0.770,6652223.54
6,5,S6M5,0.843,6623911.90
6,6,S6M6,0.798,6648735.74
6,7,S6M7,1.092,6630406.37
6,8,S6M8,0.614,6645950.24
6,9,S6M9,0.822,6682088.24
6,10,S6M10,0.879,6694809.92
7,1,S7M1,0.299,9022050.38
7,2,S7M2,0.374,8984172.29
7,3,S7M3,0.735,8924580.35
7,4,S7M4,0.526,8910163.47
7,5,S7M5,0.753,8875582.99
7,6,S7M6,0.984,8955205.34
7,7,S7M7,0.863,8852087.79
7,8,S7M8,0.788,9016442.08
7,9,S7M9,0.787,9005872.91
7,10,S7M10,0.827,8915882.19
8,1,S8M1,0.181,12955826.26
8,2,S8M2,0.837,12813020.02
8,3,S8M3,0.341,12668397.13
8,4,S8M4,0.515,12827466.59
8,5,S8M5,0.645,12824625.60
8,6,S8M6,0.560,12870286.52
8,7,S8M7,0.628,12863379.27
8,8,S8M8,0.705,12764059.16
8,9,S8M9,0.941,12892232.55
8,10,S8M10,0.673,12919612.57
9,1,S9M1,0.530,21768688.40
9,2,S9M2,0.323,21560688.80
9,3,S9M3,0.504,21409057.47
9,4,S9M4,0.371,21413545.22
9,5,S9M5,0.117,21599858.23
9,6,S9M6,0.658,21214624.59
9,7,S9M7,0.357,20976618.97
9,8,S9M8,0.756,21131427.86
9,9,S9M9,0.465,21554292.40
9,10,S9M10,0.827,21252752.27
10,1,S10M1,0.277,109589899.26
10,2,S10M2,0.386,93502277.05
10,3,S10M3,0.465,77734733.23
10,4,S10M4,0.316,70787734.03
10,5,S10M5,0.231,70518431.48
10,6,S10M6,0.153,81198751.03
10,7,S10M7,0.419,104757995.52
10,8,S10M8,0.506,106284883.39
10,9,S10M9,0.717,144556715.89
10,10,S10M10,0.741,215347125.08
