portfolio,size_quintile,bm_quintile,actual_avg_excess_pct,fitted_avg_excess_pct,pricing_error_pct,rmse_pct,mae_pct
S1B1,1,1,2.840018753252555,2.022716469526424,0.8173022837261311,,
S1B2,1,2,2.024545622029335,1.714782575179414,0.30976304684992123,,
S1B3,1,3,2.2535312205180054,2.1271735302512575,0.12635769026674779,,
S1B4,1,4,3.406809930153323,2.2693274096433473,1.1374825205099754,,
S1B5,1,5,2.9061767551344277,2.4249424734319476,0.4812342817024803,,
S2B1,2,1,1.276464309688993,1.4829193329767159,-0.20645502328772297,,
S2B2,2,2,2.19991940013696,1.5024250760048758,0.6974943241320839,,
S2B3,2,3,1.4179409319680771,1.7235171961347435,-0.30557626416666644,,
S2B4,2,4,2.002852363326249,2.1445017660360683,-0.14164940270981924,,
S2B5,2,5,2.2966530338779396,2.021793810794315,0.2748592230836247,,
S3B1,3,1,1.0411772266393515,1.3510531214773451,-0.3098758948379937,,
S3B2,3,2,1.100349959831114,1.393737836134162,-0.29338787630304797,,
S3B3,3,3,1.4587496785232208,1.5149386793131472,-0.05618900078992652,,
S3B4,3,4,1.7957183788526718,1.612576678380872,0.18314170047179987,,
S3B5,3,5,1.7555281983927256,2.139991850971681,-0.38446365257895565,,
S4B1,4,1,1.0003194255554202,0.8986176350513866,0.10170179050403347,,
S4B2,4,2,0.8350585865578868,1.1071658970421723,-0.2721073104842856,,
S4B3,4,3,1.288111875165779,1.2397867663267532,0.04832510883902574,,
S4B4,4,4,1.7580163117205603,1.5576764667390641,0.20033984498149612,,
S4B5,4,5,1.3235024302743434,1.6022296844622979,-0.27872725418795435,,
S5B1,5,1,0.6338541130413361,0.5457070086781671,0.08814710436316894,,
S5B2,5,2,1.0541547791840675,0.39355709806661276,0.6605976811174548,,
S5B3,5,3,0.9521293776311767,0.4956671971339495,0.45646218049722714,,
S5B4,5,4,1.194976257068634,0.7638646059284316,0.4311116511402023,,
S5B5,5,5,1.1229507704234416,1.1193400734954795,0.0036106969279621134,,
SUMMARY,,,,,,0.4210942593168129,0.33065451233838833
