portfolio,alpha_pct,nw12_t_alpha,abs_alpha_pct
S1B1,-0.02012213783410821,-0.17483444977947138,0.02012213783410821
S1B2,0.49149894722866827,4.016745584898434,0.49149894722866827
S1B3,0.6446176248287168,6.155825037473712,0.6446176248287168
S1B4,0.5978333493474784,2.3450780484502536,0.5978333493474784
S1B5,0.31341371148365044,2.1542273203946998,0.31341371148365044
S2B1,-0.3644431025277251,-3.679052601120447,0.3644431025277251
S2B2,-0.02767415575651482,-0.3244507519644161,0.02767415575651482
S2B3,0.2334717062076651,2.066368844912183,0.2334717062076651
S2B4,0.015494980996693004,0.15822791306059622,0.015494980996693004
S2B5,0.012689869618003925,0.10027047682679051,0.012689869618003925
S3B1,-0.11549623526579565,-0.8363835639827177,0.11549623526579565
S3B2,-0.1097643777421573,-0.729402446222504,0.1097643777421573
S3B3,0.0686038682809322,0.49870423314414886,0.0686038682809322
S3B4,-0.12693257027837443,-0.9756359884564076,0.12693257027837443
S3B5,-0.13317766312180043,-1.008743146530397,0.13317766312180043
S4B1,-0.06624037865548141,-0.5017353189229711,0.06624037865548141
S4B2,-0.020815427708213274,-0.15177987110180444,0.020815427708213274
S4B3,-0.19162554634138068,-1.4134186403101074,0.19162554634138068
S4B4,-0.22175087856312897,-1.7572092710655662,0.22175087856312897
S4B5,-0.16489028072454814,-1.7933484782084999,0.16489028072454814
S5B1,0.32157289505248277,2.5403054411788264,0.32157289505248277
S5B2,0.25589102506402467,1.2707379309072107,0.25589102506402467
S5B3,-0.12779228986141516,-0.656436827682171,0.12779228986141516
S5B4,-0.08634633420625276,-0.7525005176279224,0.08634633420625276
S5B5,0.13201364177575364,1.6268952674950685,0.13201364177575364
